H,HSD,HCV,D,DSD,DCV,A,ASD,ACV,Goal,Result
2.554,0.085,0.033,2.909,0.096,0.033,2.834,0.095,0.034,0-1',A
3.108,0.331,0.107,3.265,0.254,0.078,2.188,0.258,0.118,0-1',A
2.579,0.152,0.059,3.454,0.135,0.039,2.493,0.112,0.045,1-2',A
2.094,0.086,0.041,3.222,0.116,0.036,3.315,0.253,0.076,3-0',H
1.167,0.046,0.039,6.652,0.907,0.136,12.261,2.045,0.167,1-1',D
2.417,0.19,0.079,3.241,0.123,0.038,2.734,0.234,0.085,2-0',H
1.587,0.04,0.025,3.789,0.147,0.039,5.002,0.347,0.069,0-0',D
1.312,0.057,0.043,5,0.671,0.134,7.909,0.966,0.122,3-1',H
1.083,0.045,0.042,9.72,3.117,0.321,21.209,10.862,0.512,2-0',H
1.234,0.046,0.038,5.994,0.543,0.091,8.953,2.262,0.253,3-0',H
1.068,0.025,0.023,9.962,1.5,0.151,21.157,9.265,0.438,4-0',H
1.542,0.041,0.026,3.555,0.146,0.041,6.495,0.519,0.08,2-0',H
1.286,0.025,0.02,4.696,0.27,0.057,10.501,1.602,0.153,2-0',H
1.391,0.035,0.025,4.125,0.194,0.047,8.075,0.932,0.115,1-0',H
3.626,0.269,0.074,3.556,0.14,0.039,1.845,0.076,0.041,2-6',A
1.736,0.069,0.04,3.429,0.129,0.038,4.673,0.288,0.062,2-0',H
2.6,0.075,0.029,2.892,0.1,0.035,2.835,0.091,0.032,2-2',D
2.615,0.087,0.033,3.047,0.101,0.033,2.691,0.085,0.032,1-0',H
1.866,0.052,0.028,3.277,0.117,0.036,4.151,0.245,0.059,3-0',H
1.809,0.051,0.028,3.306,0.116,0.035,4.41,0.287,0.065,3-3',D
1.982,0.054,0.027,3.145,0.117,0.037,3.85,0.214,0.056,0-0',D
2.832,0.091,0.032,2.951,0.107,0.036,2.558,0.086,0.034,0-2',A
2.648,0.084,0.032,2.952,0.109,0.037,2.727,0.09,0.033,2-0',H
3.232,0.153,0.047,2.917,0.102,0.035,2.321,0.068,0.029,0-0',D
